标题,参考价,京东价,京东链接,产品图片,产品参数,存储容量,硬盘尺寸,接口类型,缓存,读取速度,写入速度,平均寻道时间,平均无故障时间
幻隐HV2000 GR（128GB）,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10131186186559.html,https://2c.zol-img.com.cn/product/271_320x240/948/cebidImfQPd.png,"存储容量：128GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3000MB/s
写入速度：3000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,M2.2280,M.2 PCIe接口,无缓存,3000MB/s,3000MB/s,暂无数据,暂无数据
幻隐HV2063（128GB）,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10106586935499.html,https://2f.zol-img.com.cn/product/271_320x240/263/cezc20lmPrHFk.png,"存储容量：128GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2100MB/s
写入速度：1700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,M2.2280,M.2 PCIe接口,无缓存,2100MB/s,1700MB/s,暂无数据,暂无数据
幻隐HV2213（128GB）,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10119925188751.html,https://2e.zol-img.com.cn/product/271_320x240/280/ceSN4Rc6SUdTg.png,"存储容量：128GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2200MB/s
写入速度：1900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,M2.2280,M.2 PCIe接口,无缓存,2200MB/s,1900MB/s,暂无数据,暂无数据
亿储J20-128GB,89,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10070887798269.html,https://2f.zol-img.com.cn/product/271_320x240/917/cePvgCKDVfnMI.jpg,"存储容量：128GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1200MB/s
写入速度：900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2280,M.2 PCIe接口,无缓存,1200MB/s,900MB/s,暂无数据,暂无数据
Intel Optane 傲腾（16GB）,98,,,https://2b.zol-img.com.cn/product/182_320x240/689/ceYExK49QGqHQ.jpg,"存储容量：16GB
硬盘尺寸：22×80mm
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：900MB/s
写入速度：145MB/s
平均寻道时间：0.5ms
平均无故障时间：160万小时",16GB,22×80mm,M.2 PCIe接口,暂无数据,900MB/s,145MB/s,0.5ms,160万小时
储侠C20 128GB,99,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10058712774237.html,https://2c.zol-img.com.cn/product/262_320x240/668/ceaI8ovvjsw.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1500MB/s
写入速度：630MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,无缓存,1500MB/s,630MB/s,暂无数据,暂无数据
星舞P200（128GB）,99,,,https://2b.zol-img.com.cn/product/203_320x240/535/ce9DrNnTmMsq6.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：760MB/s
写入速度：370MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,760MB/s,370MB/s,暂无数据,暂无数据
幻隐HV2050（128GB）,99,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10124924832844.html,https://2f.zol-img.com.cn/product/271_320x240/227/ceu3tyvYKakFg.png,"存储容量：128GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3500MB/s
写入速度：3000MB
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,M2.2280,M.2 PCIe接口,无缓存,3500MB/s,3000MB,暂无数据,暂无数据
幻隐HV2283 128GB,99,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10080273231842.html,https://2c.zol-img.com.cn/product/259_320x240/524/ceskoquIEbD.png,"存储容量：128GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3000MB/s
写入速度：2400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,M2.2280,M.2 PCIe接口,无缓存,3000MB/s,2400MB/s,暂无数据,暂无数据
幻隐HV2000 NVMe PCIe（128GB）,106,,,https://2e.zol-img.com.cn/product/225_320x240/624/cekTyVeSRlGB.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1600MB/s,暂无数据,暂无数据
长城GW3300（256GB）,107,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059649312.html,https://2a.zol-img.com.cn/product/250_320x240/726/ceYrevA60XXo.jpg,"存储容量：256GB
硬盘尺寸：长80mm；宽22mm；高2.25mm
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1800MB/s
写入速度：1300MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,长80mm；宽22mm；高2.25mm,M.2 PCIe接口,无缓存,1800MB/s,1300MB/s,暂无数据,150万小时
梵想S500（128GB ）,109,96.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100013791105.html,https://2a.zol-img.com.cn/product/222_320x240/618/ce80SGR0PdvWk.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1800MB/s,暂无数据,暂无数据
台迅M.2 PCI-E（64GB）,109,,,https://2c.zol-img.com.cn/product/200_320x240/258/ceHenfUnpoTzM.jpg,"存储容量：64GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均寻道时间：0.15ms
平均无故障时间：暂无数据",64GB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,0.15ms,暂无数据
金储星P322（256GB）,114,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10108422581268.html,https://2a.zol-img.com.cn/product/271_320x240/678/cektGTR763xUU.jpg,"存储容量：256GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2000MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2242,M.2 PCIe接口,无缓存,2000MB/s,1000MB/s,暂无数据,暂无数据
幻隐HV2000 2.5英寸 NVMe PCIe（128GB）,116,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059529943420.html,https://2a.zol-img.com.cn/product/225_320x240/472/ceAPTDwU8jBAA.png,"存储容量：128GB
硬盘尺寸：2.5英寸
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：900MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2.5英寸,M.2 PCIe接口,暂无数据,900MB/s,1000MB/s,暂无数据,暂无数据
光威Basic+（256GB）,118,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100045209638.html,https://2f.zol-img.com.cn/product/234_320x240/469/ceIXJFK4gzvu6.png,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3200MB/s
写入速度：1400MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,3200MB/s,1400MB/s,暂无数据,150万小时
金胜维NX 2280 128GB,119,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10045869122388.html,https://icon.zol-img.com.cn/detail/no_pic/no_320x240.gif,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2200MB/s
写入速度：800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,无缓存,2200MB/s,800MB/s,暂无数据,暂无数据
悉硕S500 256GB,119,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10078821024006.html,https://2b.zol-img.com.cn/product/259_320x240/995/ced7mFXNqzPhk.png,"存储容量：256GB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2100MB/s
写入速度：1600MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,M.2 2280,M.2 PCIe接口,无缓存,2100MB/s,1600MB/s,暂无数据,150万小时
Colorful CF500 镭风（240GB）,119,95.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100028397283.html,https://2d.zol-img.com.cn/product/222_320x240/639/ce61f6mLKudsc.jpg,"存储容量：240GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：450MB/s
写入速度：400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",240GB,暂无数据,M.2 PCIe接口,暂无数据,450MB/s,400MB/s,暂无数据,暂无数据
悉硕S600 1TB,119,,,https://2e.zol-img.com.cn/product/259_320x240/452/ce1HNLjJsklRo.png,"存储容量：1TB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3000MB/s
写入速度：2000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,M.2 2280,M.2 PCIe接口,无缓存,3000MB/s,2000MB/s,暂无数据,150万小时
幻存V1200（128GB）,119,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10121017695356.html,https://2c.zol-img.com.cn/product/271_320x240/908/cepMXDbSvXM.jpg,"存储容量：128GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：800MB/s
写入速度：600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2242,M.2 PCIe接口,无缓存,800MB/s,600MB/s,暂无数据,暂无数据
奥睿科e3500（256GB）,119,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10124900497890.html,https://2e.zol-img.com.cn/product/271_320x240/574/ceV8mYL9saXU.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2500MB/s
写入速度：1800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,2500MB/s,1800MB/s,暂无数据,暂无数据
储尊CN501Pro 256GB,119,169.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091272388738.html,https://2c.zol-img.com.cn/product/256_320x240/716/ceYSNWjs1BvEg.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2000MB/s
写入速度：950MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,2000MB/s,950MB/s,暂无数据,150万小时
亿储J20-256GB,119,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10070887798270.html,https://2f.zol-img.com.cn/product/271_320x240/917/cePvgCKDVfnMI.jpg,"存储容量：256GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1700MB/s
写入速度：1100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2280,M.2 PCIe接口,无缓存,1700MB/s,1100MB/s,暂无数据,暂无数据
台电稳影 M.2（128GB）,119,,,https://2f.zol-img.com.cn/product/225_320x240/75/cerhGsrPk6iIM.jpg,"存储容量：128GB
硬盘尺寸：1.8英寸
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：630MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,1.8英寸,M.2 PCIe接口,暂无数据,1500MB/s,630MB/s,暂无数据,暂无数据
金杉NGFF-256GB,126,126.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091138128384.html,https://2e.zol-img.com.cn/product/271_320x240/60/ce2qHd4ZDYz8k.png,"存储容量：256GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：480MB/s
写入速度：520MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2280,M.2 PCIe接口,无缓存,480MB/s,520MB/s,暂无数据,暂无数据
固德佳PC210（256GB）,126,126.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095812631097.html,https://2c.zol-img.com.cn/product/271_320x240/316/ceo75xyC8Zv2Y.jpg,"存储容量：256GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：256MB
读取速度：2500MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2242,M.2 PCIe接口,256MB,2500MB/s,1200MB/s,暂无数据,暂无数据
储侠CP20 256GB,128,128.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10066259616133.html,https://2c.zol-img.com.cn/product/258_320x240/224/ceUqEgmRA76Z2.jpg,"存储容量：256GB
硬盘尺寸：长80mm；宽22mm
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000-3500mb/s
写入速度：1500-3500mb/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,长80mm；宽22mm,M.2 PCIe接口,暂无数据,2000-3500mb/s,1500-3500mb/s,暂无数据,暂无数据
SSK飚王MP001 pro（256GB）,128,128.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10110856100930.html,https://2a.zol-img.com.cn/product/271_320x240/978/cepxjFDvb5its.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7400MB/s
写入速度：6500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,7400MB/s,6500MB/s,暂无数据,暂无数据
储侠C20 256GB,129,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10058712774238.html,https://2c.zol-img.com.cn/product/262_320x240/680/ceNpci9Io2h96.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1500MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,1500MB/s,1200MB/s,暂无数据,暂无数据
Winconway T300（64GB）,129,,,https://2c.zol-img.com.cn/product/203_320x240/580/cexKf7Ao2P82.jpg,"存储容量：64GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：350MB/s
写入速度：90MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",64GB,暂无数据,M.2 PCIe接口,暂无数据,350MB/s,90MB/s,暂无数据,150万小时
aigo P2000（128GB）,129,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10029445065885.html,https://2f.zol-img.com.cn/product/221_320x240/225/ceOyRyNH73gbM.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1800MB/s
写入速度：500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1800MB/s,500MB/s,暂无数据,暂无数据
幻存V1200（256GB）,129,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10121017695357.html,https://2c.zol-img.com.cn/product/271_320x240/908/cepMXDbSvXM.jpg,"存储容量：256GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：900MB/s
写入速度：700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2242,M.2 PCIe接口,无缓存,900MB/s,700MB/s,暂无数据,暂无数据
幻隐HV2063（256GB）,129,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10106586935500.html,https://2f.zol-img.com.cn/product/271_320x240/263/cezc20lmPrHFk.png,"存储容量：256GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2100MB/s
写入速度：1700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,M2.2280,M.2 PCIe接口,无缓存,2100MB/s,1700MB/s,暂无数据,暂无数据
幻隐HV2213（256GB）,129,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082453929457.html,https://2e.zol-img.com.cn/product/271_320x240/280/ceSN4Rc6SUdTg.png,"存储容量：256GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2200MB/s
写入速度：1900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,M2.2280,M.2 PCIe接口,无缓存,2200MB/s,1900MB/s,暂无数据,暂无数据
幻存V2400（256GB）,129,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10121015180059.html,https://2b.zol-img.com.cn/product/271_320x240/527/cedYvClGFXYUs.png,"存储容量：256GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2000MB
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2242,M.2 PCIe接口,无缓存,2000MB,1600MB/s,暂无数据,暂无数据
幻存V3500（256GB）,129,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10111206880198.html,https://2a.zol-img.com.cn/product/271_320x240/174/ce4a91k5FX11A.png,"存储容量：256GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2400MB/s
写入速度：950MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2280,M.2 PCIe接口,无缓存,2400MB/s,950MB/s,暂无数据,暂无数据
中科存储ZKSFH 256GB,135,,,https://2c.zol-img.com.cn/product/260_320x240/520/ceh3nx4bohpbI.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2000MB/s
写入速度：1000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,2000MB/s,1000MB/s,暂无数据,150万小时
固德佳NVMe 2280 M.2（64GB）,135,,,https://2a.zol-img.com.cn/product/225_320x240/78/ceHgDpg47J0dE.jpg,"存储容量：64GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",64GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,1200MB/s,暂无数据,暂无数据
悉硕XS970（128GB）,138,,,https://2d.zol-img.com.cn/product/209_320x240/365/ceosXv9N2B3hw.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1517MB/s
写入速度：1359MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1517MB/s,1359MB/s,暂无数据,暂无数据
佳翼E1000 M.2 2280（120GB）,139,,,https://2c.zol-img.com.cn/product/206_320x240/14/ceWW8P1dEhSzc.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1550MB/s
写入速度：530MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,1550MB/s,530MB/s,暂无数据,暂无数据
佳翼E1000 M.2 2280（128GB）,139,,,https://2e.zol-img.com.cn/product/206_320x240/52/cea3d1AAKYAQg.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1550MB/s
写入速度：530MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1550MB/s,530MB/s,暂无数据,暂无数据
先锋APS-SE10N 2280（128GB）,139,,,https://2d.zol-img.com.cn/product/196_320x240/419/cesQzJOkqyUns.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1600MB/s
写入速度：900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1600MB/s,900MB/s,暂无数据,暂无数据
固德佳NVMe 2280 M.2（128G）,139,,,https://2e.zol-img.com.cn/product/225_320x240/70/cesvPXIa6UxOk.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,1200MB/s,暂无数据,暂无数据
铨兴N200（128GB）,139,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10052002840622.html,https://2f.zol-img.com.cn/product/222_320x240/767/ceyiXEjcLaiI.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1300MB/s
写入速度：600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1300MB/s,600MB/s,暂无数据,暂无数据
