标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7800 黯雾黑,1789,1587.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049944709.html,https://2a.zol-img.com.cn/product/259_320x240/114/ceU8yDrcvbZtk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7800MHz",台式机,暂无数据,DDR5,7800MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7800 科技银,1789,1587.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049944711.html,https://2b.zol-img.com.cn/product/259_320x240/109/ces5RBdPHXVok.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7800MHz",台式机,暂无数据,DDR5,7800MHz
芝奇幻锋戟 32GB（2×16GB）DDR5 5600 C36,899,,,https://2d.zol-img.com.cn/product/221_320x240/693/ceKYqEdpGjWws.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
芝奇幻锋戟 32GB（2×16GB）DDR5 6000 C36,899,787.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100018074841.html,https://2c.zol-img.com.cn/product/221_320x240/692/cerpk5g2cdRDg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
芝奇幻锋戟 32GB（2×16GB）DDR5 5600,899,4326.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059058138521.html,https://2e.zol-img.com.cn/product/221_320x240/694/cerCr2kK5VUgs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
芝奇幻锋戟 32GB（2×16GB）DDR5 6000,899,787.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100018059303.html,https://2f.zol-img.com.cn/product/221_320x240/689/cePQh05dfI2Ug.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金士顿骇客神条FURY 16GB DDR4 3200（HX432C18FB/16-SP）,470,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/71262604818.html,https://2a.zol-img.com.cn/product/222_320x240/978/ceuu1AYluUqaI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
英睿达8GB DDR5 4800 笔记本内存条,149,,,https://2b.zol-img.com.cn/product/242_320x240/305/ceMuESLkvIXyc.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
阿斯加特洛极T2 8GB DDR4 3000,299,,,https://2d.zol-img.com.cn/product/226_320x240/663/ceyP8654hoJSA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
三星16GB（2×8GB）DDR4 3200,535,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10072867800199.html,https://2a.zol-img.com.cn/product/222_320x240/650/cecnj1YQICoMs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
玖合4GB DDR3L 1600（笔记本）,99,,,https://2b.zol-img.com.cn/product/215_320x240/101/ceO0zHuiB0VsE.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
光威天策 8GB DDR4 3000,219,,,https://2b.zol-img.com.cn/product/226_320x240/689/ceJ4pbdDSC5.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
金士顿骇客神条FURY 16GB（2×8GB）DDR4 3200（HX432C18FB2K2/16）,679,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100005116786.html,https://2b.zol-img.com.cn/product/197_320x240/799/ceUE8ZZWzJ9y.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
阿斯加特弗雷 Freyr 16GB（2×8GB）DDR4 3200,399,189.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100032601846.html,https://2a.zol-img.com.cn/product/218_320x240/726/ceOIcjiSVYCpM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
海盗船复仇者RGB PRO 16GB DDR4 3000（CMR16GX4M2C3000C15W）,749,,,https://2c.zol-img.com.cn/product/193_320x240/314/ceb9wuJM8B46c.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
威刚万紫千红 8GB DDR5 4800,1199,,,https://2c.zol-img.com.cn/product/221_320x240/398/ce98luvG2QWK6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
金百达刃RGB DDR4 3600 32GB(16GB×2)海力士C16黑刃,579,459.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100129057470.html,https://2e.zol-img.com.cn/product/268_320x240/618/ceUVv1AbzaXE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
Acer宏碁 Vesta II 炫光星舰 DDR5 6000 C30  32GB(16GB×2),765,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100043501548.html,https://2a.zol-img.com.cn/product/259_320x240/810/ceMOA59bYJ5E.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
Acer宏碁 Vesta II 炫光星舰 DDR5 6000 C30 64GB(32GB×2),1599,1599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100043501500.html,https://2a.zol-img.com.cn/product/259_320x240/810/ceMOA59bYJ5E.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
联想8GB DDR4 2666（笔记本）,299,85.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233704.html,https://2c.zol-img.com.cn/product/197_320x240/170/ceMZIgtGk9kwk.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
威刚XPG-Z1威龙 8GB DDR4 3600,379,125.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100000819375.html,https://2c.zol-img.com.cn/product/226_320x240/128/ceXE1Bdh7Ynlg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
金士顿低电压版 2GB DDR3 1600（KVR16LS11S6/2）,149,,,https://2a.zol-img.com.cn/product/169_320x240/602/ceqiEVs6rr5Yc.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",笔记本,暂无数据,DDR3,1600MHz
金士顿FURY Beast 16GB DDR5 6000（KF560C40BB-16）,979,419.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10045108733469.html,https://2c.zol-img.com.cn/product/220_320x240/212/ceAP1TD23d8R.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
光威战将 8GB DDR4 2666（笔记本）,229,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100005585018.html,https://2b.zol-img.com.cn/product/208_320x240/417/cetu3ySmqSA82.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
芝奇皇家戟 16GB DDR4 3600（F4-3600C18D-16GTRS）,1049,598.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100001749045.html,https://2b.zol-img.com.cn/product/220_320x240/289/ceIsQ3bEO4lKg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
联想8GB DDR3L 1600（笔记本）,279,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233724.html,https://2f.zol-img.com.cn/product/197_320x240/465/ce1woyd6ZsuZA.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
阿斯加特洛极T2 8GB DDR4 3200,259,,,https://2c.zol-img.com.cn/product/206_320x240/876/ce04OqV2Xcg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
光威战将 16GB DDR4 2666（笔记本）,430,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003386099.html,https://2f.zol-img.com.cn/product/208_320x240/439/ceOG9dh7BruqQ.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
英睿达Ballistix铂胜 RGB 16GB（2×8GB）DDR4 3600（BL2K8G36C16U4BL）,659,,,https://2e.zol-img.com.cn/product/221_320x240/652/ce6je1h0C7zh6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
芝奇焰光戟 16GB（2×8GB）DDR4 3600（F4-3600C18D-16GTZN）,849,949.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100010766144.html,https://2c.zol-img.com.cn/product/221_320x240/852/ceaWhHQea2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
金士顿HyperX Impact 8GB DDR4 2666（HX426S15IB2/8）,259,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/36136931633.html,https://2d.zol-img.com.cn/product/226_320x240/79/ceYOQD0gM9o6.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金士顿FURY Beast 8GB DDR4 3200（HX432C18FB2/8-SP）,270,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/71262604817.html,https://2e.zol-img.com.cn/product/221_320x240/660/ceU5qncmaAkns.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
英睿达Ballistix铂胜游戏 8GB DDR4 3600（BL8G36C16U4W）,289,,,https://2d.zol-img.com.cn/product/215_320x240/745/cesl3E2Qg9Byw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
光威龙武系列 DDR5 6400 32GB(16GB×2) 海力士M-die,679,719.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100075498329.html,https://2b.zol-img.com.cn/product/259_320x240/615/ceQL7JlavEdQA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
Gloway（光威）龙武系列 DDR5 6400 32GB（16GB×2）镁光颗粒,599,589.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100128414392.html,https://2d.zol-img.com.cn/product/268_320x240/965/cezWR3zQEBkZs.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
科赋BOLT X 8GB DDR4 3200,299,,,https://2f.zol-img.com.cn/product/226_320x240/123/cei2rattRtkbs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金百达8GB DDR5 4800,399,,,https://2a.zol-img.com.cn/product/218_320x240/372/cescaPqCMksw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
联想8GB DDR4 2666,239,95.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100005377915.html,https://2f.zol-img.com.cn/product/203_320x240/39/ceiYpX3EsXiQs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
英睿达16GB DDR4 3200（CT16G4DFD832A）,599,209.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100005625370.html,https://2d.zol-img.com.cn/product/226_320x240/565/ceoGmdRYfCAg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
Acer 掠夺者 Vesta 16GB（2×8GB）DDR4 3600 C14 B-Die颗粒,1999,,,https://2a.zol-img.com.cn/product/218_320x240/582/ceryhPbBHoKFQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
金百达银爵 16GB（2×8GB）DDR5 6000,399,359.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049223277.html,https://2d.zol-img.com.cn/product/226_320x240/393/ceVZoO93QMsbg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金百达黑爵 8GB DDR4 2666,199,85.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100000350878.html,https://2d.zol-img.com.cn/product/195_320x240/863/ceuoBcXSGogW2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
金百达黑刃 DDR5 6000 64GB(32GBx2),1299,1399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100058625443.html,https://2d.zol-img.com.cn/product/259_320x240/89/ce1ft7tHtfOdY.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金百达黑刃 DDR5 6000 三星颗粒 32GB(16GBx2),669,719.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10113757650973.html,https://2d.zol-img.com.cn/product/259_320x240/89/ce1ft7tHtfOdY.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金百达黑刃 DDR5 6800 64GB(32GBx2),779,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100042620384.html,https://2d.zol-img.com.cn/product/259_320x240/89/ce1ft7tHtfOdY.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
金百达黑刃 DDR5 7200 32GB(16GBx2),839,859.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100045209662.html,https://2d.zol-img.com.cn/product/259_320x240/89/ce1ft7tHtfOdY.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
联想16GB DDR4 3200（笔记本）,549,165.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007630881.html,https://2d.zol-img.com.cn/product/226_320x240/101/ce8cytRerZ1Z6.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
海盗船复仇者LPX 16GB DDR4 3600（CM4X16GC3600C18K2D-CN）,560,,,https://2a.zol-img.com.cn/product/222_320x240/38/cew2blxQlzsRk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
雷克沙战神之刃 RGB DDR5 6400 32GB(16GBx2) 白色,829,819.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100061546907.html,https://2d.zol-img.com.cn/product/259_320x240/63/ceJfIGbiRiwHI.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
