标题,参考价,京东价
玖合星舞 16GB（2×8GB）DDR4 3200,239,179
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6400 黯雾黑,789,828
海盗船复仇者LPX 16GB DDR4 3600（CM4X16GC3600C18K2D-CN）,560,
金士顿骇客神条FURY 32GB（2×16GB）DDR4 3600,1399,439
芝奇皇家戟 DDR5 6400 64GB（2×32GB）银色,2059,2089
七彩虹16GB DDR4 3200 8GB,179,145
威刚威龙D300 32GB(16GB*2) DDR5 6000,709,
威刚万紫千红 8GB DDR4 3200,299,98
金士顿骇客神条FURY 8GB DDR4 2400（HX424C15FB/8）,329,
金百达银爵  32GB（2×16GB）DDR5 6400,999,759
金士顿4GB DDR3 1600（KVR16N11S8/4）,229,109
海盗船复仇者 32GB（2×16GB）DDR5 4800,699,
金士顿16GB DDR4 3200（KVR32S22D8/16）,455,199
威刚万紫千红 4GB DDR3 1600,200,89
金士顿骇客神条FURY 8GB DDR3 1866（HX318C10F/8）,449,159
光威悍将 16GB DDR4 2666,439,139
威刚XPG 威龙 D300 DDR5 6000 C30 16GB 釉白,415,399
金士顿FURY Beast超级野兽DDR5 6400英雄联盟双城之战限定联名款 32GB（2×16GB）,899,999
美商海盗船复仇者 32GB DDR5 6000,1169,739
威刚XPG 龙耀D50 16GB（2×8GB）DDR4 3200,759,309
金百达刃RGB DDR4 3600 32GB(16GB×2)海力士C16星刃,499,399
先锋8GB DDR4 3200 笔记本内存条,75,
金百达黑爵 8GB DDR4 3200,209,95
雷克沙Ares战神之翼 DDR5 7600 32GB(16GBx2) 黑色,1299,889
七彩虹战斧 8GB DDR4 3200 新马甲条,239,99
威刚XPG 龙耀 D300G DDR5 6000 16GB 酷黑,469,395
金士顿8GB DDR4 2666（KVR26N19S8/8）,319,119
金百达黑爵 16GB DDR4 3200,429,149
威刚XPG 威龙 D300 DDR5 6400 16GB 酷黑,415,409
金士顿16GB DDR4 2666（KVR26N19D8/16）,609,
海盗船复仇者RGB PRO 16GB DDR4 3000（CMR16GX4M2C3000C15W）,749,
海盗船复仇者 32GB（2×16GB）DDR5 6400,949,849
光威战将 8GB DDR4 3200（笔记本）,179,78
芝奇皇家戟 16GB DDR4 3600（F4-3600C18D-16GTRS）,1049,549
金士顿骇客神条FURY 8GB DDR3 1600（HX316C10F/8）,449,
金百达银爵 16GB（2×8GB）DDR4 3600,259,195
阿斯加特海拉 DDR5 6400 32GB（2×16GB）,669,689
金士顿FURY Beast 8GB DDR5 6000（KF560C40BB-8）,259,239
海盗船复仇者LPX 32GB DDR4 3200（CM4X32GC3200C16K2E-CN）,910,149
金士顿FURY Beast 16GB DDR5 6000（KF560C40BB-16）,979,419
金士顿低电压版 4GB DDR4 2400（KVR24N17S8/4）,189,
芝奇皇家戟 DDR5 6400 32GB（2×16GB）银色,1099,1069
阿斯加特金伦加 TUF联名款 32GB（2×16GB） DDR4 3600,469,319
金士顿FURY Beast超级野兽 RGB DDR5 6400 64GB（2×32GB）黑,2299,1999
英睿达16GB DDR4 3200（CT16G4SFD832A）,569,194
阿斯加特金伦加 TUF联名款 8GB DDR4 3200,209,
金士顿4GB DDR3 1600（KVR16N11/4）,165,
威刚万紫千红  16GB DDR5 5600台式机内存,369,267
芝奇幻锋戟 DDR5 64GB（2×32GB）DDR5 6400 黯雾黑,1794,1793
阿斯加特吹雪 DDR5 6400 32GB（2×16GB）,739,889
威刚XPG威龙 16GB DDR4 3200,609,319
金士顿骇客神条FURY 16GB（2×8GB）DDR4 3200（HX432C18FB2K2/16）,679,219
雷克沙战神之刃 RGB DDR5 6800 32GB(16GBx2) 黑色,899,799
金百达刃RGB DDR4 3600 16GB(8GB×2)长鑫A-die白刃,269,239
美商海盗船复仇者 16GB DDR5 6000,479,349
Acer宏碁 Vesta II 炫光星舰 DDR5 6000 C30 64GB(32GB×2),1599,1599
金百达星刃 DDR5 6000 32GB(16GBx2),799,759
海盗船复仇者LPX 16GB DDR4 4000,750,299
七彩虹战斧·冰雪白 32GB（2×16GB）DDR4 3200,389,284
海盗船复仇者LPX 16GB DDR4 3200,490,209
雷克沙战神之刃 RGB DDR5 6400 32GB(16GBx2) 黑色,829,769
英睿达16GB DDR5 5600 台式机内存条,299,299
阿斯加特金伦加 TUF联名款 8GB DDR4 3600,209,
金百达刃RGB DDR4 3600 32GB(16GB×2)海力士C16黑刃,579,459
芝奇皇家戟 DDR5 6400 96GB（2×48GB）银色,3299,3099
金士顿16GB DDR4 2400 （KVR24N17S8/4）,459,
金士顿FURY Beast 8GB DDR4 2666（HX426C16FB3/8）,239,149
宇瞻暗黑马甲 DDR5 6000 16GB,399,315
金士顿8GB DDR4 3200（KVR32N22S8/8）,339,
阿斯加特女武神 DDR5 6000 32GB（2×16GB） 海力士M-die,739,
威刚XPG Z1 8GB DDR4 3200,295,95
金百达银爵 16GB（2×8GB）DDR5 5600,359,
海盗船统治者铂金 32GB DDR4 3600（CMD32GX4M4B3600C16）,3899,
雷克沙Ares战神之翼 DDR5 6000 32GB(16GB×2) C26 黑色,999,1089
金士顿FURY Beast 16GB（2×8GB）DDR5 6000（KF560C40BBK2-16）,1349,
阿斯加特金伦加 TUF联名款 32GB DDR4 3200,399,
威刚万紫千红 16GB DDR4 3200,589,178
金士顿FURY Beast野兽 RGB DDR5 5200 32GB 黑,839,899
海盗船复仇者RGB PRO 16GB DDR4 3200（CM4X16GC3200C16W2E-CN）,580,289
金士顿32GB DDR4 3200（KVR32N22D8/32）,1199,379
金士顿HyperX Savage 8GB DDR4 2400（HX424C12SB/8）,235,149
七彩虹战斧 8GB DDR4 2666,189,97
芝奇皇家戟 DDR5 8400 48GB（2×24GB）金色,5620,5610
光威天策 32GB（2×16GB）DDR4 3200,859,278
Acer宏碁 Pallas II 凌霜系列 DDR5 6000 32G(16G*2)星光银,669,749
金士顿骇客神条FURY 16GB DDR4 2666（HX426C16FB/16）,619,259
芝奇焰锋戟 DDR5 6000 64GB（2×32GB）C30,1899,1787
芝奇皇家戟 16GB（2×8GB）DDR4 4000（F4-4000C18D-16GTRS）,1399,
英睿达48GB DDR5 5600 笔记本内存条,899,749
金士顿FURY Beast 32GB（2×16GB）DDR5 5200（KF552C40BBK2/32）,3999,719
金士顿骇客神条FURY 32GB DDR4 3200（HX432C16FB3/32）,900,
雷克沙Ares战神之翼 DDR5 6000 32GB(16GB×2) C26 银色,999,1089
金百达刃 RGB灯条 32GB（2×16GB）DDR5 6400,799,779
金泰克磐虎 8GB DDR4 2400,259,109
金士顿FURY Beast 32GB（2×16GB）DDR4 3600（KF436C18BBK2/32）,1349,
金士顿FURY Beast 16GB DDR5 5200（KF552C40BB/16）,1500,359
宏碁掠夺者Hermes冰刃系列 DDR5 8000 32GB（2×16GB）,3999,
金士顿低电压版 8GB DDR4 2400（KVR24N17S8/8）,299,
金百达刃RGB DDR4 3600 32GB(16GB×2)海力士C16白刃,579,459
金士顿FURY Beast 32GB DDR5 6000 白色款,739,
金士顿FURY Beast 32GB（2×16GB）DDR5 6000（KF560C40BBK2-32）,1899,799
金百达银爵 16GB DDR4 3600,269,179
英睿达8GB DDR4 3200（CT8G4DFS832A）,309,109
金士顿FURY Beast野兽 RGB DDR5 4800 8GB 黑,299,299
光威天策 32GB DDR4 3200,829,258
七彩虹战斧 8GB DDR4 4000,139,
七彩虹战斧 赤焰 32GB（2×16GB）DDR5 6000 白色款,699,
金士顿FURY Beast超级野兽 RGB DDR5 6000 32GB（2×16GB）黑,1099,949
金士顿4GB DDR4 2133（KVR21S15S8/4）,219,179
三星32GB（2×16GB）DDR4 3200,1699,559
芝奇焰锋戟 DDR5 6000 32GB（2×16GB）C30,999,1098
阿斯加特瓦尔基里女武神二代 DDR5 7200 C36 48GB（2×24GB）,1599,1209
威刚XPG 龙耀 D500G DDR5 6000 32GB(16GBx2),979,899
宏碁 Hermes冰刃系列 32G(16G×2) DDR5 6400 C32,799,899
金士顿FURY Beast 32GB DDR5 5600 白色款,729,749
宏碁 Hermes冰刃系列 64G(32G×2) DDR5 6400 C32,1699,1699
金士顿HyperX Predator  16GB DDR4 3200,699,
芝奇幻光戟 32GB（2×16GB）DDR4 4000（F4-4000C18D-32GTZR）,1449,1899
金士顿骇客神条FURY 8GB DDR4 2666 RGB（HX426C16FB3A/8）,369,
金百达刃 RGB DDR5 6000 32GB(16GBx2) 白刃,699,
威刚XPG 龙耀 D500G 吹雪 DDR5 8000 64GB(32GBx2),2499,
金百达刃RGB DDR4 4000 32GB(16GB×2)海力士C19白刃,579,449
金士顿16GB DDR4 2666（KVR21N15S8/4）,435,
芝奇幻光戟 16GB DDR4 3200（F4-3200C16S-16GTZR）,589,349
七彩虹战斧 赤焰 64GB（2×32GB）DDR4 3600,849,749
阿斯加特金伦加&TUF联名款 DDR5 6400 32GB（2×16GB）,698,789
海盗船复仇者LPX 32GB DDR4 3200（CMK32GX4M2B3200C16）,1199,399
芝奇皇家戟 DDR5 8000 48GB（2×24GB）银色,2999,2489
威刚XPG 龙耀 D300G DDR5 6000 16GB 釉白,469,395
Gloway（光威）神武RGB系列 DDR5 6400 32GB(16GB×2) 海力士A-die,789,
海盗船复仇者LPX 8GB DDR4 3600（CM4X8GD3600C18K2D-CN）,275,159
阿斯加特博拉琪Ⅱ代 DDR5 8000 32GB（2×16GB）C38,1699,1699
阿斯加特海拉 DDR5 5600 32GB（2×16GB）,509,459
铭瑄 机甲暴风W5 DDR5 6000 32GB（2×16GB）,749,465
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6400 科技银,789,828
威刚XPG 龙耀 D500G RO姬 DDR5 7200 64GB(32GBx2),2499,
金士顿HyperX Predator  16GB DDR4 3000（HX430C15PB3/16）,480,
金士顿8GB DDR4 2666（KVR21N15S8/4）,215,
金士顿FURY Impact 16GB DDR4 2666（HX426S15IB2/16）,529,249
阿斯加特瓦尔基里女武神DDR4 4000 32GB（2×16GB）海力士C19,599,469
美商海盗船复仇者 32GB DDR5 5200,899,649
Acer宏碁 Vesta II 炫光星舰 DDR5 6800 C32 32GB(16GB×2),1049,899
金士顿FURY Beast 64GB（2×32GB）DDR4 3200（KF432C16BBK2/64）,2299,
金士顿骇客神条FURY 16GB DDR4 3600,719,229
Team Delta RGB 32GB（2×16GB）DDR5 6400,6559,
阿斯加特博拉琪Ⅱ代 DDR5 6000 32GB（2×16GB）,859,899
金士顿骇客神条FURY 16GB DDR4 2400（HX424C15FB/16）,619,
金百达8GB DDR3 1600,179,49
威刚XPG 威龙 D300 DDR5 6000 C30 32GB(16GBx2) 酷黑,829,799
威刚威龙D300 32GB(16GB*2) DDR5 6400,739,829
七彩虹天蝎座 DDR5 6000 16GB,279,249
英睿达Ballistix铂胜游戏 8GB DDR4 3600（BL8G36C16U4W）,289,
金士顿FURY Beast 32GB（2×16GB）DDR4 3200（KF432C16BB1K2/32）,1159,
金士顿骇客神条FURY 8GB DDR4 2666（HX426C15FB/8）,235,149
海盗船复仇者RGB PRO 16GB DDR4 3600（CM4X16GC3600C18W2D-CN）,610,299
金士顿骇客神条FURY 16GB DDR4 3200 RGB（HX432C16FB3A/16）,595,279
金百达银爵 32GB（2×16GB）DDR5 6000,1059,649
金百达黑刃 DDR5 6000 三星颗粒 32GB(16GBx2),669,649
金百达星刃白 32GB（2×16GB）DDR5 6000,799,779
金士顿1GB DDR2 800（KVR800D2N6/1G）,157,
海盗船复仇者LPX 32GB DDR4 3600,1299,439
联想4GB DDR3 1600（笔记本）,149,49
铭瑄 机甲暴风W5 DDR5 6000 16GB,374,235
金士顿8GB DDR3 1333（KVR1333D3N9/8G）,460,
金士顿FURY Beast野兽 RGB DDR5 5200 32GB（2×16GB）黑,959,869
科赋雷霆BOLT V DDR5 6000 32GB（2×16GB）,799,659
先锋8GB DDR4 3200 台式机内存条,95,
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7800 黯雾黑,1789,1687
海盗船复仇者 32GB（2×16GB）DDR5 5600,749,
金士顿FURY Impact 8GB DDR4 3200（HX432S20IB2/8）,295,129
金士顿骇客神条FURY 32GB DDR4 3200 RGB（HX432C16FB3AK2/32）,1100,559
金士顿4GB DDR3 1333（KVR13N9S8/4-SP）,229,
金士顿骇客神条FURY 16GB DDR4 2666（HX426C16FB2K2/16）,649,279
金士顿骇客神条FURY 8GB DDR4 2133（HX421C14FB/8）,399,
金士顿FURY Beast 16GB DDR5 4800（KF548C38BB/16）,1400,359
美商海盗船复仇者LPX 银色 8GB DDR4 3200,229,
光威悍将 4GB DDR4 2666,119,
金士顿FURY Impact 32GB DDR4 3200（HX432S20IB/32）,1409,419
三星8GB DDR4 2666,259,159
威刚万紫千红 16GB DDR4 2666,599,189
金士顿低电压版 8GB DDR3 1600（KVR16LS11/8）,439,219
三星8GB DDR4 2400,319,
金士顿FURY Beast超级野兽 RGB DDR5 6000 64GB（2×32GB）黑,1899,
金百达刃 RGB DDR5 6400 32GB(16GBx2) 黑刃,759,
Acer宏碁 Hera 影锋 DDR5 8400 48GB（2×24GB）,1699,1699
光威神武RGB系列 DDR5 6000 32GB(16GB×2),739,669
金士顿FURY Beast 8GB DDR4 2666（KF426C16BB/8）,259,
英睿达32GB DDR5 5600 台式机内存条,599,579
金士顿8GB DDR4 2666（KVR26S19S8/8）,240,109
金士顿16GB DDR4 2666（KVR26S19D8/16）,519,
金士顿32GB DDR4 3200（KVR32S22D8/32）,1249,389
芝奇皇家戟 256GB（8×32GB）DDR4 3600（F4-3600C18Q2-256GTRG）,13499,
联想8GB DDR4 3200（台式机）,229,99
芝奇Ripjaws V 32GB DDR4 3200,999,
威刚XPG 龙耀D60G DDR4 16GB（2×8GB）3200,709,
金士顿骇客神条FURY 16GB DDR4 3200 RGB（HX432C16FB3AK2/16）,729,359
金士顿骇客神条FURY 16GB（2×8GB）DDR4 3600,749,229
三星16GB DDR4 2133,939,
金士顿8GB DDR4 2133（KVR21N15/8）,359,134
英睿达镁光8GB DDR4 2400,239,88
阿斯加特瓦尔基里女武神二代 DDR5 6400 C32 32GB（2×16GB）,779,749
Acer宏碁 Hera 影锋 DDR5 6400 32GB(16GB×2),869,899
七彩虹天蝎座 DDR5 6000 32GB（2×16GB）,529,479
芝奇焰刃 DDR5 6000 32GB（2×16GB） C36 黯夜黑,799,587
金百达黑刃 DDR5 7200 32GB(16GBx2),839,799
金士顿FURY Beast超级野兽 RGB DDR5 6400 32GB（2×16GB）黑,1199,1099
金士顿16GB DDR5 5600台式机内存条,429,319
威刚万紫千红 16GB DDR5 4800,1299,319
威刚XPG 龙耀 D500G 吹雪 DDR5 6000 32GB(16GBx2),979,918
金士顿FURY Beast 16GB（2×8GB）DDR4 2666（KF426C16BBK2/16）,499,
芝奇皇家戟 32GB（2×16GB）DDR4 3600（F4-3600C18D-32GTRS）,1620,798
雷克沙Hades OC 16GB（2×8GB）DDR4 3600,459,
芝奇皇家戟 32GB（2×16GB）DDR4 4000（F4-4000C18D-32GTRS）,1549,849
七彩虹战斧 16GB DDR4 2666,299,
雷克沙8GB DDR4 3200（台式机）,215,
英睿达16GB DDR4 3200（CT16G4DFD832A）,599,199
金士顿骇客神条FURY 16GB DDR4 3600 RGB（HX436C17FB3A/16）,630,369
芝奇焰光戟 16GB（2×8GB）DDR4 3600（F4-3600C18D-16GTZN）,849,369
金士顿HyperX Predator  8GB DDR4 3200,499,
金士顿FURY Beast 8GB DDR4 3200（HX432C18FB2/8-SP）,270,129
瑾宇DDR2 800 1GB 双面颗粒,18,
金士顿FURY Beast超级野兽 RGB DDR5 6000 32GB（2×16GB）白,1099,949
金士顿低电压版 16GB DDR4 2400（KVR24N17D8/16）,609,
金泰克8GB DDR4 2666,245,129
金百达星刃 DDR5 6400 96GB(48GBx2),2299,2099
铭瑄 机甲暴风W5 DDR5 5600 16GB,299,225
威刚XPG 威龙 D500 DDR5 6000 16GB 釉白,429,425
光威天策系列 DDR5 6000 32GB(16GB×2),649,499
光威龙武系列 DDR5 6400 32GB(16GB×2) 海力士M-die,679,649
金士顿16GB DDR5 5200笔记本内存条,419,
酷兽夜枭 16GB DDR5 5200,249,229
玖合DDR4 2666 16GB,168,
金士顿16GB DDR5 5200台式机内存条,419,
金士顿FURY Impact 16GB DDR4 3200（HX432S20IB/16）,629,219
英睿达32GB DDR5 5600 笔记本内存条,599,579
金士顿HyperX Predator 256GB（8×32GB）DDR4 3200（HX432C16PB3K8/256）,10999,
威刚万紫千红 8GB DDR4 2666,309,99
金士顿8GB DDR4 3200（KVR32S22S8/8）,339,119
三星4GB DDR3L 1600（笔记本）,191,48
金士顿低电压版 4GB DDR3 1600（KVR16LS11/4）,229,109
海盗船Vengeance  16GB DDR4 3000（CMU16GX4M2C3000C15R）,1649,
芝奇皇家戟 DDR5 8000 48GB（2×24GB）金色,4500,4490
七彩虹天蝎座 DDR4 3200 32GB（2×16GB）,339,279
阿斯加特博拉琪Ⅱ代 DDR5 8000 32GB（2×16GB）C36,899,899
阿斯加特金伦加&TUF联名款 DDR5 6400 64GB（2×32GB）,1459,1429
阿斯加特瓦尔基里女武神二代 DDR5 6800 C32 32GB（2×16GB）,929,879
芝奇幻锋戟 DDR5 64GB（2×32GB）DDR5 6400 科技银,1794,1798
金士顿64GB(32G×2) DDR5 5600笔记本内存条,1999,
威刚XPG 威龙 D300 DDR5 6000 C36 16GB 酷黑,405,
Acer宏碁 Pallas II 凌霜系列 DDR5 6000 32G(16G*2)石耀黑,669,749
金士顿FURY Beast 16GB DDR5 6000 白色款,399,569
金士顿FURY Beast 8GB DDR4 3600特别版,329,
金士顿FURY Beast 32GB（2×16GB）DDR5 5600 白色款,779,739
金士顿HyperX Predator  8GB DDR4 3000（HX430C15PB3/8）,359,
芝奇幻光戟 16GB（2×8GB）DDR4 3200（F4-3200C14D-16GTZR）,1099,998
海盗船复仇者LPX 64GB（2×32GB）DDR4 3600,2599,898
雷克沙Ares战神之翼 DDR5 6000 32GB(16GB×2) C28 黑色,799,889
威刚万紫千红 8GB DDR3 1600,309,159
金士顿2GB DDR3 1333（KVR13N9S6/2）,159,
芝奇皇家戟 DDR5 7200 48GB（2×24GB）金色,3660,3650
金百达刃RGB DDR4 3600 32GB(16GB×2)海力士C18白刃,549,419
七彩虹天蝎座 DDR4 3600 32GB（2×16GB）,369,279
金士顿FURY Beast野兽 RGB DDR5 5200 8GB 黑,299,299
金士顿FURY Beast野兽 RGB DDR5 5200 16GB（2×8GB）黑,599,519
金士顿FURY Beast超级野兽 RGB DDR5 6400 64GB（2×32GB）白,2299,
阿斯加特女武神·瓦尔基里 2×8GB DDR4 3200（B-die C14）,419,
金士顿FURY Beast超级野兽 RGB DDR5 6400 32GB（2×16GB）白,1199,
芝奇焰锋戟 DDR5 6000 48GB（2×24GB）C40,1399,1099
光威天策 16GB（2×8GB）DDR4 3600,509,189
阿斯加特弗雷 Freyr 16GB（2×8GB）DDR4 3200,399,189
芝奇幻锋戟 32GB（2×16GB）DDR5 6000 C36,899,787
威刚XPG 龙耀D50 ROG STRIX 吹雪 16GB（2×8GB）DDR4 3600,1099,329
威刚万紫千红 4GB DDR4 2666,169,119
光威天策 16GB（2×8GB）DDR4 3200,419,184
金百达黑爵战甲 32GB（2×16GB）DDR4 3200,849,
金士顿FURY Impact 64GB（2×32GB）DDR4 3200（HX432S20IBK2/64）,2399,819
芝奇皇家戟 64GB（2×32GB）DDR4 3600（F4-3600C18D-64GTRS）,2890,1388
金士顿骇客神条FURY 32GB DDR4 3600 RGB（HX436C17FB3AK2/32）,1599,599
海盗船复仇者LPX 16GB DDR4 3200（CMK16GX4M2B3200C16）,639,
金士顿低电压版 8GB DDR4 2400（KVR24S17S8/8）,499,
芝奇幻光戟 16GB（2×8GB）DDR4 3200（F4-3200C16D-16GTZR）,699,329
影驰GAMER 8GB DDR4 2400,255,
金士顿FURY 叛逆者Renegade 48GB（2×24GB） DDR5 8400 黑色,2799,
金士顿骇客神条FURY 8GB DDR3 1600（HX316C10FR/8）,449,299
金士顿骇客神条FURY 16GB DDR3 1866（HX318C10FK2/16）,1649,1694
金士顿FURY Beast野兽 RGB DDR5 4800 16GB（2×8GB）黑,599,
金士顿FURY Beast野兽 RGB DDR5 5200 64GB（2×32GB）黑,1679,
金士顿FURY Beast野兽 RGB DDR5 4800 32GB 黑,829,829
金士顿FURY Beast超级野兽 RGB DDR5 6000 64GB（2×32GB）白,1899,1699
金士顿FURY Beast野兽 RGB DDR5 4800 16GB 黑,469,
金邦巨蟹 DDR5 6200 24GB,389,
阿斯加特吹雪 16GB(8Gx2) DDR4 3600,359,299
阿斯加特女武神 DDR5 6400 64GB（2×32GB） 海力士A-die,1499,1379
威刚XPG 威龙 D300 DDR5 6400 32GB 釉白,909,799
阿斯加特金伦加 TUF联名款 32GB（2×16GB）DDR4 3200,429,289
金士顿32GB DDR5 5600台式机内存条,799,599
金士顿64GB(32G×2) DDR5 5600台式机内存条,1599,
芝奇幻光戟 16GB（2×8GB）DDR4 3600（F4-3600C18D-16GTZR）,799,369
金士顿FURY Beast 16GB DDR5 6000（KF560C40BB-16）,1349,
英睿达Ballistix铂胜游戏 16GB（2×8GB）DDR4 3000（BL2K8G30C15U4W）,489,
金百达16GB DDR4 2666（台式机）,279,139
金士顿骇客神条FURY 32GB DDR4 2666（HX426C16FB3K2）,1199,399
瑾宇DDR2 800 1GB（笔记本）,18,
芝奇幻光戟 8GB DDR4 3000（F4-3000C16S-8GTZR）,369,
影驰星曜 8GB DDR4 3000,299,
芝奇皇家戟 32GB（2×16GB）DDR4 3200（F4-3200C16D-32GTRS）,1510,
三星8GB DDR4 2133,389,
芝奇皇家戟 16GB DDR4 3200（F4-3200C16D-16GTRS）,910,2156
金士顿HyperX Predator  8GB DDR4 4000,559,
海盗船复仇者RGB Pro 32GB DDR4 3200,1199,579
三星8GB DDR4 2400（笔记本）,259,
金士顿8GB DDR3 1600（KVR16S11/8）,439,219
金士顿骇客神条FURY 32GB DDR4 2400（HX424C15FBK2/32）,1199,
海盗船复仇者LPX 8GB DDR4 2400（CMK8GX4M1A2400C14）,264,
阿斯加特瓦尔基里女武神二代 DDR5 6800 C34 48GB（2×24GB）,1299,1099
威刚XPG 龙耀 D300G DDR5 6400MHz 16GBx2/酷黑/TUF联名,829,849
金士顿FURY Impact风暴 DDR5 4800 32GB,799,779
金士顿FURY Beast野兽 RGB DDR5 5200 16GB 黑,479,
阿斯加特女武神 DDR5 6400 32GB（2×16GB） 海力士A-die,839,769
金士顿FURY Beast野兽 RGB DDR5 5200 32GB（2×16GB）白,959,869
金士顿FURY Beast 32GB（2×16GB）DDR5 6000 白色款,799,
金士顿16GB DDR5 5600笔记本内存条,429,319
金百达刃 RGB DDR5 6000 16GB 白刃,359,
阿斯加特金伦加 TUF联名款 16GB（2×8GB）DDR4 3200,229,189
英睿达32GB DDR5 5200 笔记本内存条,599,
金士顿FURY Beast 32GB（16GB×2） DDR4 3200特别版,999,559
海盗船统治者铂金RGB 32GB（2×16GB）DDR5 5600,4999,
金士顿HyperX Impact 8GB DDR4 2666（HX426S15IB2/8）,259,139
金士顿FURY Beast 32GB（2×16GB）DDR4 2666（KF426C16BB1K2/32）,999,
金士顿32GB DDR4 2666（KVR26S19D8/32）,869,
金士顿FURY Beast 32GB DDR4 2666（KF426C16BB/32）,979,399
金泰克贪狼星 8GB DDR4 3200,259,
芝奇焰光戟 32GB（2×16GB）DDR4 3600（F4-3600C16D-32GTZNC）,1899,
金士顿4GB DDR4 2666（KCP426SS6/4）,199,
威刚XPG-Z1威龙 16GB DDR4 3600,679,195
金士顿骇客神条FURY 8GB DDR4 3200 RGB（HX432C16FB3A/8）,339,
联想16GB DDR4 3200（笔记本）,549,165
海力士16GB DDR3 1066,799,
芝奇8GB DDR4 2666（F4-2666C19S-8GNT）,209,
英睿达8GB DDR4 2666（CT8G4DFS8266）,309,
芝奇幻光戟 32GB（4×8GB）DDR4 3200（F4-3200C16Q-32GTZR）,3299,
海盗船复仇者RGB 16GB DDR4 3000（CMR16GX4M2C3000C15）,1399,
三星16GB DDR4 2666,899,799
金士顿8GB DDR3 1333（KVR1333D3S9/8G）,450,
金士顿16GB DDR4 2133（KVR21N15D8/16）,1499,
芝奇8GB DDR4 2133（F4-2133C15S-8GNT）,306,
金士顿骇客神条 4GB DDR3 1600（KHX1600C9S3P1K2）,669,
Acer宏碁 Hera 影锋 DDR5 8000 32GB（2×16GB）,869,899
芝奇皇家戟 DDR5 7200 32GB（2×16GB）金色,2540,2600
金士顿FURY Beast野兽 RGB DDR5 4800 32GB（2×16GB）黑,1499,839
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6800 科技银,949,1049
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7200 黯雾黑,1099,1099
金士顿32GB(16G×2) DDR5 5600笔记本内存条,859,
威刚XPG 威龙 D300 DDR5 6400 64GB(32GBx2) 酷黑,1819,1599
威刚XPG 龙耀 D500G RO姬 DDR5 8000 64GB(32GBx2),2499,
金士顿64GB(32G×2) DDR5 5200台式机内存条,1499,
美商海盗船复仇者 16GB DDR5 5600,449,
沃存8GB DDR4 3200,99,
金士顿FURY Beast 32GB（2×16GB）DDR5 4800（KF548C38BBK2/32）,2499,719
金士顿FURY Beast 16GB DDR4 3600特别版,569,369
金士顿FURY Renegade 16GB DDR5 6400（KF564C32RSA-16）,1449,699
金士顿FURY Impact 32GB（2×16GB）DDR4 2666（HX426S15IB2K2/32）,1099,419
金士顿FURY Renegade 16GB（2×8GB）DDR4 5333（KF453C20RBK2/16）,8699,
海盗船统治者铂金RGB 32GB（2×16GB）DDR5 5200,4399,
金士顿FURY Impact 8GB DDR4 2666（KF426S15IB/8）,259,
金士顿16GB DDR4 2666（KVR26S17D8/16）,475,249
金士顿骇客神条FURY 64GB（4×16GB）DDR4 2666,2499,
