标题,参考价,京东价,京东链接,产品图片,产品参数
风扇数量	1个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	长效油封轴承
最高转数	1800RPM
转数描述	500-1800RPM
最大风量	50CFM"
JPLAYER JPS124 2铜管9cm单风扇炫彩版,25,29.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059741962.html,https://2a.zol-img.com.cn/product/252_320x240/936/cePJbtv2cI3UY.jpg,"产品型号	JPS124
散热器类型	Intel 平台散热器
散热方式	风冷
适用范围	宽度大于180mm
发光方式	RGB
主体材质	塑料
产品重量	300g
风扇尺寸	90*90*25mm
最高转数	2000RPM
噪音	18AdB
端子接口	INTEL LGA1200，INTEL1151（八代），AMD AM4，INTEL LGA1700
热管数量	2热管
散热片尺寸	92*63*135mm
其它参数	穿片工艺"
雷神LS360X-ARGB,599,,,https://2f.zol-img.com.cn/product/206_320x240/365/ce5VxS7YLSB22.jpg,"散热器类型	CPU散热器
散热方式	水冷
适用范围	Intel：LGA 1200/115X/20XX
电源参数	水泵：12V,0.36A
输入功率	水泵：4.32W
产品尺寸	274×120×27mm
风扇数量	3个
风扇尺寸	120×120×25mm
轴承类型	双滚珠轴承（Dual Ball Bearing）
转数描述	900-2000±10%RPM
最大风量	56.5CFM
风压	1.99mmaq
噪音	16.2-31.5dB
水冷排类型	360mm冷排
水泵	转速：2100±10%RPM
包装清单	散热器本机 x1"
海盗船ML120 PRO RGB（三颗装）,799,,,https://2a.zol-img.com.cn/product/199_320x240/352/ceFL8qKSR3A2.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	RGB
智能温控	支持智能温控
电源参数	风扇：0.072A，RGB：0.2A
使用寿命	60000小时
风扇数量	2个
风扇尺寸	120×120×25mm
轴承类型	磁悬浮轴承（Magnetic Bearing）
转数描述	400-1600RPM
最大风量	47.3CFM
风压	1.78mmaq
噪音	25dB
包装清单	ML120 PRO RGB 风扇 x3
质保时间	5年"
NZXT Aer RGB 2 120,219,,,https://2c.zol-img.com.cn/product/225_320x240/408/ce96tR3aHW2XI.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	RGB
电源参数	12V DC
产品尺寸	120×120×26mm
产品重量	187g
风扇尺寸	120×120×26mm
扇叶数量	9叶
轴承类型	流体动态轴承（FDB）
最高转数	1500RPM
转数描述	500-1500RPM
最大风量	17.48-52.44CFM
风压	0.15-1.35mmaq
噪音	22-33dB
散热片材质	塑料，橡胶，PCB
其它参数	接头：4针 PWM"
alseye CRAMBARGB 黑色 内存条散热器双风扇 ARGB,155,,,https://2e.zol-img.com.cn/product/250_320x240/780/ceDprjphqoXIM.jpg,"产品型号	C-RAM-B-ARGB
散热器类型	风冷散热器
散热方式	风冷
发光方式	ARGB
产品重量	240g
风扇尺寸	60*60*25mm
最高转数	1000RPM
噪音	20.1(A)±10%dB
散热片尺寸	157*64*102mm"
九州风神AN600,199,,,https://2d.zol-img.com.cn/product/259_320x240/773/ceie9ZOuAjeqU.jpg,"产品型号	GP-Z-AN600
散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel Socket LGA 1700/1200/115X AMD AM4/AM5
电源参数	12V,0.23A
输入功率	2.76W
产品尺寸	122*120*67mm
产品重量	628g
风扇数量	1个
风扇尺寸	120×120×25mm
轴承类型	Fluid Dynamic Bearing
转数描述	500-1850±10%RPM
最大风量	61.56CFM
风压	2.61mmaq
噪音	≤24.4dB
热管数量	6个"
乔思伯CR-2100,179,,,https://2b.zol-img.com.cn/product/221_320x240/543/ceLYIdjO30lI.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
发光方式	RGB
产品尺寸	157*134*120mm
产品重量	900g
风扇数量	2个
风扇尺寸	120*120*25mm
最高转数	1500RPM
转数描述	700-1500RPM
最大风量	25.5-62.8CFM
噪音	18.1-29.5dB
端子接口	4-pin PWM
额定电压	12V"
乔思伯光影TW6-280 幻彩版,399,,,https://2d.zol-img.com.cn/product/221_320x240/901/ceUDkEoP0p27c.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	RGB
产品尺寸	315*138*27mm
风扇尺寸	140*140*25mm
轴承类型	Hydraulic
最高转数	1700RPM
转数描述	800-1700RPM
最大风量	48.4-107.36CFM
噪音	30dB
端子接口	4-pin PWM
转速	2500RPM
水泵	尺寸：80.3*71.57mm"
九州风神阿萨辛 WH,549,,,https://2e.zol-img.com.cn/product/259_320x240/858/cevUrF2jpzNY.jpg,"产品型号	GP-Z-ASSASSIN-IV-WH
散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel Socket LGA 20XX/1700/1200/115X AMD AM4/AM5
电源参数	12V,0.1A/0.07A
输入功率	1.2W/0.84W
产品尺寸	144*147*164mm
产品重量	1575g
风扇数量	2个
风扇尺寸	120×120×25，140×140×25mm
轴承类型	Fluid Dynamic Bearing
转数描述	500-1700±10%RPM
最大风量	79.1CFM
风压	2.44mmaq
热管数量	7个
散热片尺寸	140*110*160mm"
超频三蜂鸟E86,39,39.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10955999223.html,https://2e.zol-img.com.cn/product/97_320x240/198/ceBCH74lSevE.jpg,"散热器类型	CPU散热器
散热方式	风冷，散热片
适用范围	Intel LGA 775/115X及AMD AM2+/AM3/FM1
使用寿命	30,000小时
产品尺寸	128x94x28mm
产品重量	106g
其它特点	8cm液压轴承风扇，兼顾静音与散热 
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	2700±10%RPM
最大风量	26CFM
噪音	28±10%dB
包装清单	散热器本机 x1
保修政策	全国联保，享受三包服务
质保时间	3年
质保备注	1个月包换，3年质保
客服电话	0755-8931-2233"
九州风神大霜塔RGB,269,,,https://2d.zol-img.com.cn/product/199_320x240/289/cesgjK6b5ikPo.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel：LGA 2066/2011-v3/2011/1151/1150/1155/LGA 775/LGA 1366
发光方式	RGB
电源参数	12V，0.11A
输入功率	1.32W
产品尺寸	126×134×158mm
产品重量	1123g
风扇数量	1个
风扇尺寸	120×120×26mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	500-1500±10%RPM
最大风量	56.5CFM
风压	1.66mmaq
噪音	≤27dB
热管数量	6个"
九州风神冰堡垒360 白,799,374.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10113019842654.html,https://2a.zol-img.com.cn/product/259_320x240/292/cenl3S9E8ICKs.png,"产品型号	LS720 WH
散热器类型	一体式水冷散热器
散热方式	水冷
适用范围	Intel Socket LGA 2066/2011-v3/2011/1700/1200/1150/1155 AMD sTR4/AM4/AM5
发光方式	ARGB
其它特点	LED接口： 3-pin(+5V-D-G)
风扇数量	3个
风扇尺寸	120×120×25mm
轴承类型	Fluid Dynamic Bearing
转数描述	500-2250±10%RPM
最大风量	85.85CFM
风压	3.27mmaq
噪音	≤32.9dB
端子接口	4pin
额定电压	12V DC，0.25A
额定功率	3.48W"
猫头鹰NH-D14,549,,,https://2d.zol-img.com.cn/product/37_320x240/315/ceCpAGv8XuZhs.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA 775/115x/1366
使用寿命	150,000小时
产品尺寸	160x140x158mm
扇叶数量	9个
轴承类型	SSO轴承
最高转数	1200RPM
噪音	19.6dB
热管数量	6个
质保时间	6年
详细内容	本产品为用户提供多达6年免费保修期 针对中国区域（不含港、澳、台）所有购买猫头鹰产品用户，需提供购买证明（包含收据以及发票－带有销售日期、商家讯息）、产品编码方可获得保修服务！进入官网>>"
jeyi（佳翼）INTELCPU12 12代CPU散热器扣具｜INTEL-CPU12,29,39.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100025485963.html,https://2a.zol-img.com.cn/product/252_320x240/386/cexAV9Ng3zFE.jpg,"产品型号	INTEL-CPU12
散热方式	空冷"
九州风神玄冰400K,89,97.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68464410078.html,https://2b.zol-img.com.cn/product/221_320x240/107/ce2wv5x9CR5oI.jpg,"散热器类型	CPU散热器
散热方式	风冷
适用范围	Intel：1151/1150/1156/1200/1366 AMD：AM4/AM3+/AM2+/AM2/FM2/FM2+
发光方式	RGB
风扇尺寸	120*120*25mm
最高转数	1500RPM
转数描述	500RPM
最大风量	56.5CFM
噪音	≤27.8dB
端子接口	小4-pin PWM
额定电压	DC 12V
热管数量	4个
散热片尺寸	129*86*155mm"
华硕TX GAMING LC 360,999,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10107194593443.html,https://2c.zol-img.com.cn/product/262_320x240/586/ceJGti7ihNfvI.jpg,"产品型号	TX GAMING LC 360
散热器类型	一体式水冷散热器
散热方式	水冷
发光方式	ARGB
产品尺寸	394×120×27mm
产品重量	2800g
风扇数量	3个
风扇尺寸	120×120×25mm
转数描述	800-2000±10%RPM
最大风量	72.58CFM
风压	3.6mmaq
噪音	32.85dB
散热片尺寸	360mm
水冷排类型	360mm冷排
冷头尺寸	90×90×55mm
冷头材质	铜"
酷冷至尊Mobius120 OC,179,336.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10111217507986.html,https://2a.zol-img.com.cn/product/262_320x240/552/ceJWEnV9u60Yo.jpg,"产品型号	MFZ-M2NN-32NPK-R1
散热器类型	CPU散热器
散热方式	风冷
发光方式	无光
风扇数量	1个
风扇尺寸	120*120*25mm
轴承类型	Two ball
最高转数	3200RPM
最大风量	88..1CFM
风压	4.75mmaq
端子接口	4pin
额定电压	12 VDC
额定功率	4.2w"
JPLAYER JPS123 6铜管12cm双风扇无光版,99,98.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100055238087.html,https://2a.zol-img.com.cn/product/252_320x240/966/ceNf9IzDkTWcM.jpg,"产品型号	JPS123
散热器类型	Intel 平台散热器
散热方式	风冷
风扇尺寸	120*120*25mm
最高转数	800RPM
噪音	16AdB
散热片尺寸	125*100*155mm"
先马XW36S II,569,569.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100117900554.html,https://2b.zol-img.com.cn/product/270_320x240/853/cexRMN9SkW5I.jpg,"散热器类型	一体式水冷散热器
散热方式	水冷
适用范围	Intel：LGA 115X/1200/1700/2011/1851
USB接口	USB2.0
产品尺寸	397×120×27mm
其它特点	屏幕模块：
端子接口	FAN 4PIN
额定电压	12V DC
水冷排类型	360mm冷排
冷头尺寸	91.6×95.2×62.8mm
冷头材质	铝"
乔思伯HP400电商版,109,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/69848862089.html,https://2f.zol-img.com.cn/product/191_320x240/937/ceTaxYj016Ws.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA115X/775
智能温控	支持智能温控
电源参数	12V
输入功率	≤110W
产品尺寸	103×92×36mm
产品重量	380g
风扇尺寸	90×90×15mm
扇叶数量	7叶
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	800-3000±10%RPM
最大风量	48.3CFM
风压	3.24mmaq
噪音	≤33dB
热管数量	4个"
乔思伯CR-1300,59,,,https://2f.zol-img.com.cn/product/221_320x240/515/ceHt09WJh1D7M.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
发光方式	RGB
产品尺寸	93*63*128mm
产品重量	380g
风扇尺寸	92*92*25mm
最高转数	2300RPM
转数描述	900-2300RPM
最大风量	15-36CFM
噪音	20-30.5dB
端子接口	4-pin PWM
热管数量	3个"
alseye Mirror-B-P,62,388.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100043784688.html,https://2f.zol-img.com.cn/product/265_320x240/219/ce3MygxfgHGw.jpg,"产品型号	Mirror-B-P
散热器类型	机箱风扇
散热方式	风冷
发光方式	ARGB
产品重量	160g
风扇尺寸	120*123.5*25.8mm
扇叶数量	9叶
轴承类型	液压轴承
最高转数	1800RPM
最大风量	1-64.5CFM
风压	0.56-2.55mmaq
噪音	15-35.5dB
额定电压	12V"
九州风神魔影CF120,179,,,https://2d.zol-img.com.cn/product/263_320x240/181/cePFKgWCUZjQ.jpg,"产品型号	魔影CF120
散热器类型	风扇
散热方式	水冷
发光方式	ARGB
产品尺寸	120*120*25mm
风扇尺寸	120*120*25mm
轴承类型	Hydro Bearing
最高转数	1500RPM
最大风量	57.28CFM
风压	1.61mmaq
噪音	28.5dB
端子接口	4pin
额定电压	12 VDC
额定功率	1.32W"
迎广ASE120 三颗包,189,,,https://2b.zol-img.com.cn/product/225_320x240/51/ceDD1Rfm9PdWA.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	ARGB
主体材质	PBT，PC
电源参数	12V，0.13A
输入功率	1.56W
产品尺寸	120×120×25mm
产品重量	600g
其它特点	可编程RGB额定电压：DC 5V 
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	长效油封轴承
最高转数	1500RPM
转数描述	400-1500RPM
最大风量	54CFM"
鑫谷昆仑2 360 ARGB,1029,,,https://2e.zol-img.com.cn/product/235_320x240/930/ce79rOdFczDjw.jpg,"散热器类型	一体式水冷散热器
散热方式	水冷
适用范围	Intel：LGA 115X/1700 AMD：AM4/AM5
发光方式	RGB
智能温控	支持智能温控
产品尺寸	402×120×72mm
风扇数量	3个
风扇尺寸	120×120×25mm
最高转数	2000RPM
转数描述	10%±2000RPM
最大风量	78CFM
风压	3mmaq
噪音	32dB
额定功率	2.64W
水冷排类型	360mm冷排
冷头尺寸	72mm"
爱国者冰霜T1,29,,,https://2e.zol-img.com.cn/product/207_320x240/904/cei8pdxPDlVo6.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	无光
智能温控	支持智能温控
电源参数	12V
风扇数量	1个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	800±200-1800±10%RPM
最大风量	65.53CFM
风压	2.54mmaq
噪音	30.1dB
包装清单	散热器本机 x1"
利民Macho Rev.B,369,,,https://2f.zol-img.com.cn/product/197_320x240/543/ceguL75G3r4W6.jpg,"散热器类型	CPU散热器
散热方式	风扇
主体材质	金属
智能温控	支持智能温控
电源参数	12v
产品尺寸	140×102×162mm
产品重量	720g
风扇尺寸	152×140×26.5mm
扇叶数量	7叶
最高转数	1300RPM
转数描述	300-1300RPM
最大风量	16.9-73.6CFM
噪音	15-21dB
热管数量	6个
包装清单	散热器 × 1
质保时间	3年"
超频三铁塔S102,109,,,https://2b.zol-img.com.cn/product/125_320x240/865/cesH94OjSFyZU.jpg,"散热器类型	CPU散热器
散热方式	风冷，散热片，热管
适用范围	Intel LGA 1366/1150/115x/2011
智能温控	支持智能温控
电源参数	12V
产品尺寸	114x86x133mm
产品重量	472g
风扇尺寸	100×100×25mm
轴承类型	液压轴承（Hydraulic Bearing）
最高转数	1800RPM
转数描述	1000至1800±10%RPM
最大风量	52.76CFM
噪音	11-18dB
热管数量	4个
热管材质	铜
包装清单	散热器本机 x1"
九州风神冰立方400 WH,159,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10076480547603.html,https://2b.zol-img.com.cn/product/259_320x240/747/ceTCWHHJdhKmw.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel Socket LGA 1700/12XX/115X AMD AM4/AM5
电源参数	12V,0.13A
输入功率	1.56W
产品尺寸	129*97*155mm
产品重量	661g
风扇数量	1个
风扇尺寸	120×120×25mm
轴承类型	Fluid Dynamic Bearing
转数描述	500-1850±10%RPM
最大风量	68.99CFM
风压	2.04mmaq
噪音	≤29dB
热管数量	4个
散热片尺寸	120*45*152mm"
finalcool（寒彻）M2SR01,16,15.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10050269561173.html,https://2f.zol-img.com.cn/product/252_320x240/755/cesRb8uZVqE2.jpg,"产品型号	M2SR01
散热器类型	芯片、显卡散热器
散热方式	空冷
散热片尺寸	75X23X7.4mm"
银欣鲨鱼 SharkForce ARGB 120,94,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10109382248508.html,https://2e.zol-img.com.cn/product/248_320x240/998/ce6Ydyb6eLsb2.jpg,"散热器类型	CPU散热器
散热方式	风冷
发光方式	RGB
产品尺寸	120×25×120mm
风扇数量	1个
风扇尺寸	120×120×25mm
最大风量	100CFM
风压	4.66mmaq
噪音	41.2dB
端子接口	4pin pwm
额定电压	12V"
超频三凌镜GI-CX240,499,,,https://2a.zol-img.com.cn/product/221_320x240/908/ce9PNFDEujlo.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	RGB
产品尺寸	274*120*27mm
风扇数量	2个
风扇尺寸	120*120*25mm
轴承类型	液压轴承
最高转数	2000RPM
转数描述	1000-2000RPM
最大风量	72CFM
噪音	29.1dB
水泵	水泵轴承：陶瓷轴承"
航嘉MVP海神X360一体式水冷,599,,,https://2a.zol-img.com.cn/product/220_320x240/634/ceoLN3HGI6tuU.jpg,"散热器类型	CPU散热器
散热方式	风冷，水冷
适用范围	Intel：LGA 2011/1366/1200/1150/1151/1155/1156/775 
发光方式	ARGB
电源参数	DC 12V
产品尺寸	394×120×27mm
其它特点	360一体式水冷散热器，支持全平台CPU
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	液压轴承（Hydraulic Bearing）
最高转数	2000RPM
转数描述	±200RPM
最大风量	71CFM
风压	1.7mmaq
噪音	32dB"
威刚温柔台风120PWM,139,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10079835754306.html,https://2a.zol-img.com.cn/product/263_320x240/450/ceFLKA6A5FjK2.png,"产品型号	温柔台风120PWM
散热器类型	机箱风扇
散热方式	风冷
发光方式	无光
智能温控	支持智能温控
使用寿命	60000小时
产品尺寸	120×120×25mm
风扇数量	1个
风扇尺寸	120×120×25mm
轴承类型	双滚珠轴承（Dual Ball Bearing）
转数描述	900-2150±10%RPM
最大风量	75CFM
风压	3.15mmaq
噪音	10-28dB
额定电压	12V"
鑫谷冰酷240S RGB版,309,,,https://2b.zol-img.com.cn/product/225_320x240/481/ce0dxgOZwwSzQ.jpg,"散热器类型	CPU散热器
散热方式	水冷
适用范围	Intel/AMD平台
发光方式	RGB
产品尺寸	275×120×27mm
风扇数量	2个
风扇尺寸	120×120×85mm
轴承类型	液压轴承（Hydraulic Bearing）
最高转数	1800RPM
转数描述	800-1800±10%RPM
最大风量	56.2CFM
噪音	34.4dB
水冷排类型	240mm冷排
包装清单	散热器 x1"
爱国者冰魄SX240,339,,,https://2f.zol-img.com.cn/product/262_320x240/593/ceGnFb8u2lPJk.jpg,"产品型号	冰魄SX240
散热器类型	一体式水冷散热器
散热方式	水冷
发光方式	ARGB
产品尺寸	277x120x27mm
产品重量	1694g
风扇尺寸	120x120x25mm
轴承类型	Hydro Bearing
最高转数	2000RPM
转数描述	2000±10%RPM
最大风量	78CFM
噪音	32dB
端子接口	4Pin +ARGB
额定电压	12V DC
额定功率	3.0W
水冷排类型	240mm冷排"
ID-COOLING SE-234-ARGB,189,,,https://2b.zol-img.com.cn/product/208_320x240/243/ce5fRwrXmxxEw.jpg,"散热器类型	CPU散热器
散热方式	风冷
适用范围	Intel，AMD
发光方式	RGB
智能温控	支持智能温控
电源参数	12V，0.25A
输入功率	3W
产品尺寸	126×88×154mm
产品重量	950g
风扇数量	1个
轴承类型	双滚珠轴承（Dual Ball Bearing）
最高转数	2000RPM
转数描述	900-2000±10%RPM
最大风量	56.5CFM
噪音	16-31.5dB
散热片尺寸	126×63×154mm"
mocooling（摩冷）HD90000 厚0.5mm【75*45mm】1片,25,36.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10046074271693.html,https://2a.zol-img.com.cn/product/252_320x240/878/cetHw8GjglQ2.jpg,"产品型号	HD90000
散热器类型	导热硅脂
散热方式	风冷
产品重量	500g
风扇尺寸	1mm
散热片尺寸	1mm"
九州风神 冰立方500数显版 WH,329,,,https://2a.zol-img.com.cn/product/259_320x240/810/cetfmEVgSKUkg.png,"产品型号	GP-Z-AK500-DIGITAL-WH
散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel Socket LGA 2066/2011-v3/2011/1700/1200/115X AMD AM4/AM5
电源参数	12V,0.12A
输入功率	1.44W
产品尺寸	127*117*160mm
产品重量	1291g
风扇数量	1个
风扇尺寸	120×120×25mm
轴承类型	Fluid Dynamic Bearing
转数描述	500-1850±10%RPM
最大风量	68.99CFM
风压	2.19mmaq
噪音	≤28dB
热管数量	5个"
NVV NT8W 标准,29,,,https://2b.zol-img.com.cn/product/250_320x240/161/ceUNMjBGaO36.jpg,"产品型号	NT-8W
散热器类型	导热硅脂
散热方式	空冷
产品重量	50g
风扇尺寸	NAmm
噪音	NAdB
散热片尺寸	NAmm"
JIUSHARK（九鲨）M.2THREE 黑色-2280散热器単塔单风扇,57,45.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10054749810563.html,https://2c.zol-img.com.cn/product/250_320x240/66/ceircM24yjbQ.jpg,"产品型号	M.2-THREE
散热方式	风冷
风扇尺寸	60*60*10MMmm
最高转数	900RPM
噪音	25.4dB
散热片尺寸	82*35.5*24.5MMmm"
JPLAYER JPS102 【黑色无光】PWM智能温控-小4pin,29,16.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100038549520.html,https://2d.zol-img.com.cn/product/252_320x240/149/cevGyC1crCJrY.jpg,"产品型号	JPS102
散热器类型	机箱风扇
散热方式	风冷
适用范围	宽度大于210mm
产品重量	150g
风扇尺寸	120*120*25mm
最高转数	800RPM
噪音	33.4dB
散热片尺寸	120*120*25mm"
乔思伯TW4-360 ARGB PLUS,599,,,https://2d.zol-img.com.cn/product/221_320x240/675/ceobFRsrh6wpo.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	RGB
产品尺寸	274*120*27mm
风扇数量	2个
风扇尺寸	120*120*25mm
轴承类型	Hydraulic
最高转数	1800RPM
转数描述	800-1800RPM
最大风量	30.5-71CFM
噪音	30dB
端子接口	4-pin PWM
水冷排类型	240mm冷排
冷头尺寸	93*67*46mm
转速	2500RPM"
乔思伯MX400幻彩版,129,,,https://2f.zol-img.com.cn/product/225_320x240/885/cemqB8UP1qkRQ.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel：LGA115X/775
发光方式	RGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	159×76×140mm
产品重量	925g
其它特点	4热管，14cm风扇，159mm高度，静音，全金属扣具，多平台，双模式灯效设计，主板ARGB神光同步
风扇数量	1个
风扇尺寸	140×140×25mm
扇叶数量	7叶
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	400-1400±10%RPM
最大风量	16.79-66.01CFM
噪音	16.5-30dB"
酷冷至尊X3（R9-NBC-NPX3）,159,,,https://2f.zol-img.com.cn/product/88_320x240/881/ceQJiaVYy8P7Y.jpg,"散热器类型	笔记本散热器
散热方式	风冷
适用尺寸	适用于17寸及以下笔记本
输入功率	1.1-1.4W
产品尺寸	400x310x51mm
产品重量	900g
其它特点	理线功能
风扇尺寸	200×200×20mm
转数描述	500至800±15%RPM
最大风量	76.5CFM
噪音	16-23dB
包装清单	散热器本机 x1
保修政策	全国联保，享受三包服务
质保时间	3年
质保备注	3个月包换，3年保修
客服电话	400-618-7400"
长城机电冰凰240,249,219.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100071431694.html,https://2f.zol-img.com.cn/product/265_320x240/667/cenYIpfJcW4GQ.jpg,"产品型号	冰凰240
散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
主体材质	铝合金
电源参数	12V
轴承类型	液压轴承（Hydraulic Bearing）
最高转数	1800RPM
转数描述	8000-1800±10%RPM
最大风量	61.2CFM
风压	1.26mmaq
噪音	30dB
端子接口	3针公母头
热管材质	铜
散热片尺寸	80.3x71x47mmmm
冷头尺寸	277x120x27mm"
爱国者冰魄X1PRO,39,19.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100028941469.html,https://2e.zol-img.com.cn/product/262_320x240/712/cevkgTflqYI.jpg,"产品型号	冰魄X1PRO
散热器类型	机箱风扇
散热方式	风冷
产品尺寸	120x120x25mm
最高转数	1800RPM
转数描述	600~1800±10%RPM
最大风量	61.66CFM
风压	1.86mmaq
噪音	27.86dB
端子接口	4pin
额定电压	12V
额定功率	1.14W
包装清单	风扇 x1"
乔思伯HF120,99,,,https://2d.zol-img.com.cn/product/263_320x240/389/ceZTitOxlJNkU.jpg,"产品型号	HF120
散热器类型	机箱风扇
散热方式	风冷
适用范围	itx机箱
发光方式	无光
USB接口	1×4PIN
主体材质	金属
电源参数	DC10.8-13.2V
产品尺寸	120×120×25mm
风扇数量	1个
风扇尺寸	120X120X25MMmm
扇叶数量	9叶
轴承类型	S-FDB bearing
最高转数	600RPM
最大风量	14.98-65.5CFM
风压	0.21-2.63mmaq"
大水牛琉璃,29,,,https://2e.zol-img.com.cn/product/200_320x240/654/cecIEVVxPTFY.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	ARGB
智能温控	支持PWM智能温控
电源参数	12V,0.68A
使用寿命	30000小时
产品尺寸	120×120×25mm
其它特点	神光同步，16颗LED灯珠，双模接口
风扇数量	1个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	400-1300RPM
最大风量	45.2CFM
风压	23.4mmaq
噪音	24dB"
酷冷至尊U2 plus V2,169,,,https://2c.zol-img.com.cn/product/206_320x240/988/ce5dFfH2UNnN.jpg,"散热器类型	笔记本散热器
适用范围	笔记本
适用尺寸	适用于17英寸及以下笔记本
USB接口	USB2.0接口
电源参数	4V,0.36A
输入功率	1.8W
产品尺寸	343×265×53mm
产品重量	570g
风扇尺寸	80×80×10mm
转数描述	2000±10%RPM
最大风量	31CFM
噪音	12dB
散热片材质	铝/金属网
包装清单	散热器  x1
保修政策	全国联保，享受三包服务
质保时间	3年"
乔思伯CR-201 RGB版,199,,,https://2d.zol-img.com.cn/product/191_320x240/167/ce0vqwqIORx3.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA775/1150/1151/1155/1156
发光方式	RGB
智能温控	支持智能温控
电源参数	12V
输入功率	≤135W
产品尺寸	129×93×160mm
产品重量	964g
其它特点	双模式RGB变色（主板AURA RGB调色功能，自带的编码开关控制变色）
风扇尺寸	120×120×25mm
扇叶数量	7叶
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	800-1600±10%RPM
噪音	≤26.1dB
热管数量	4个"
猫头鹰NF-A14 industrialPPC-2000 PWM,210,,,https://2e.zol-img.com.cn/product/199_320x240/496/cedBQb8YZ6adk.jpg,"散热器类型	风扇
散热方式	风冷
主体材质	铝制
电源参数	12V,0.18A
输入功率	6.6W
产品尺寸	140x140x25mm
风扇数量	1个
轴承类型	SSO2
最高转数	2000RPM
风压	4.18mmaq
噪音	31.5dB
包装清单	风扇 x1
保修政策	全国联保，享受三包服务
质保时间	6年
质保备注	6年质保
客服电话	075536605306"
迎广AJ120木星,59,,,https://2b.zol-img.com.cn/product/225_320x240/605/ce0fgFBybYpCY.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	ARGB
主体材质	PBT，PC
电源参数	12V，0.20A
输入功率	2.4W
使用寿命	30000小时
产品尺寸	包装：185×125×30mm
产品重量	200g
