标题,参考价,京东价,京东链接,产品图片,产品参数
长城阿基米德KM-1,199,159.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10034855554005.html,https://2f.zol-img.com.cn/product/226_320x240/957/cec36ThA4WCF.jpg,"机箱类型：台式机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带），ABS塑料
板材厚度：0.6mm"
联力包豪斯Air MINI,749,,,https://2e.zol-img.com.cn/product/221_320x240/80/ceGMPIn3OYFc.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：EATX板型，ATX板型，MATX板型，ITX板....>>
电源设计：暂无数据
扩展插槽：5/7个
前置接口：USB3.0接口 x2
机箱材质：铝合金
板材厚度：4mm"
长城TF1-T200SHA,339,,,https://2d.zol-img.com.cn/product/225_320x240/593/ceeS32Os2Hsys.png,"机箱类型：台式机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB3.0接口 x1 USB2.0接口 x3....>>
扩展插槽：暂无数据
机箱材质：SGCC（热浸镀锌钢板）
板材厚度：暂无数据"
金河田魔术师,239,,,https://2b.zol-img.com.cn/product/225_320x240/137/ceRdFld7sqZh6.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：ATX版型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB2.0接口 x2 USB3.0接口 x1
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
乔思伯C2,155,,,https://2b.zol-img.com.cn/product/221_320x240/613/ce7vhE3uHV4Tk.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：ITX板型，MATX板型
电源设计：暂无数据
扩展插槽：3个
前置接口：USB2.0接口 x1 USB3.0接口 x1
机箱材质：上盖采用1.5mm阳极合金铝板 , 硬盘架....>>
板材厚度：暂无数据"
先马原神 雪装版,339,219.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10054713683763.html,https://2c.zol-img.com.cn/product/222_320x240/122/ceMPLytAe5bU.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x2 USB2.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
先马鲁班1,229,189.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100008792814.html,https://2a.zol-img.com.cn/product/202_320x240/966/cehXm9TKiszqU.jpg,"机箱类型：台式机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB2.0接口 x2 USB3.0接口 x1
机箱材质：SECC（电解镀锌钢板）
板材厚度：0.8mm"
Phanteks追风者P500A,599,399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014161936.html,https://2b.zol-img.com.cn/product/222_320x240/109/ceNd0D4CKK40Y.jpg,"机箱类型：台式机箱
机箱结构：ATX
适用主板：EATX板型，ATX板型，MATX板型，ITX板....>>
电源设计：暂无数据
前置接口：USB3.0接口 x2
扩展插槽：暂无数据
机箱材质：SGCC（热浸镀锌钢板）
板材厚度：暂无数据"
航嘉GS400C,139,107.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100008177989.html,https://2a.zol-img.com.cn/product/221_320x240/504/ceVY584ec9xE.jpg,"机箱类型：台式机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB3.0接口 x1 USB1.1接口 x2....>>
扩展插槽：暂无数据
机箱材质：SPCC
板材厚度：0.5mm"
航嘉GS500C,169,140.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100001118724.html,https://2b.zol-img.com.cn/product/193_320x240/753/ceOuRbs3vhRro.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB2.0接口 x2 USB3.0接口 x1
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.5mm"
长城KM-1W,169,155.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100012057352.html,https://2b.zol-img.com.cn/product/222_320x240/415/ceJLuJId6MmO2.jpg,"机箱类型：台式机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带），ABS塑料
板材厚度：0.6mm"
先马黑金刚,139,,,https://2d.zol-img.com.cn/product/225_320x240/159/ceXCUw4Cqpw.jpg,"机箱类型：台式机箱（中塔）
机箱结构：暂无数据
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：SPCC/钢化玻璃
板材厚度：暂无数据"
航嘉GX680X,299,,,https://2e.zol-img.com.cn/product/222_320x240/146/cefVhgrxwVK0o.jpg,"机箱类型：台式机箱（中塔）
机箱结构：暂无数据
适用主板：EATX板型，ATX板型，MATX板型，ITX板....>>
电源设计：暂无数据
扩展插槽：7个
前置接口：USB2.0接口 x2 USB3.0接口 x1
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
爱国者黑曼巴,249,,,https://2a.zol-img.com.cn/product/173_320x240/710/cevMbtewxxZpo.jpg,"机箱类型：台式机箱（中塔），游戏机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB2.0接口 x2 USB3.0接口 x2
扩展插槽：暂无数据
机箱材质：带钢（锌粉烤漆）
板材厚度：上盖：0.7mm 侧板：0.6mm 内件：0.....>>"
爱国者星璨 小岚,299,209.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100070489290.html,https://2d.zol-img.com.cn/product/254_320x240/849/cevA7O2b8nPo.jpg,"机箱类型：小型机箱
机箱结构：MATX
适用主板：M-ATX（紧凑型），MINI-ITX（迷你型....>>
电源设计：下置电源
前置接口：USB3.0x1+USB2.0x1
扩展插槽：暂无数据
机箱材质：SPCC钢材
板材厚度：暂无数据"
GAMEMAX 寂静岭,109,,,https://2e.zol-img.com.cn/product/201_320x240/672/cesEA3ZvitEc.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ITX
适用主板：ITX板型，M-ATX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x1
机箱材质：SPCC（轧碳钢薄板及带）+钢化玻璃
板材厚度：0.6mm"
乔思伯D30,392,399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100033285014.html,https://2e.zol-img.com.cn/product/223_320x240/612/ceV86j36rEdDg.jpg,"机箱类型：游戏机箱
机箱结构：MATX
适用主板：DTX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.2接口 x2
机箱材质：暂无数据
板材厚度：暂无数据"
九州风神魔方110,219,,,https://2b.zol-img.com.cn/product/225_320x240/77/ceqy0kL6P2efI.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
爱国者破晓X,299,,,https://2d.zol-img.com.cn/product/225_320x240/965/ceX7VHdXuSEzU.jpg,"机箱类型：台式机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
大水牛飓风,119,,,https://2b.zol-img.com.cn/product/225_320x240/775/ce5uc49K8f8YM.jpg,"机箱类型：台式机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.5mm"
半岛铁盒H5,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100020190788.html,https://2c.zol-img.com.cn/product/225_320x240/936/cexKlU6EpMTvU.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：暂无数据
板材厚度：暂无数据"
大水牛牛仔K,69,77.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10035031217585.html,https://2f.zol-img.com.cn/product/222_320x240/215/cefovRPO3Rzi.jpg,"机箱类型：台式机箱（中塔）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB2.0接口 x2
机箱材质：SPCC，面板ABS材质
板材厚度：暂无数据"
爱国者黑曼巴标准版,249,,,https://2b.zol-img.com.cn/product/188_320x240/95/ceTgmvGtav.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：暂无数据
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
酷冷至尊Q300L,239,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100000105376.html,https://2e.zol-img.com.cn/product/221_320x240/612/ceHrSp0wiDbY.jpg,"机箱类型：台式机箱（中塔）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x2
机箱材质：塑料+钢板
板材厚度：暂无数据"
长城商祺R25,119,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014680488.html,https://2c.zol-img.com.cn/product/225_320x240/680/ce6jJOFWIAMg.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
扩展插槽：暂无数据
机箱材质：ABS塑料
板材厚度：0.6mm"
金河田21+峥嵘 MUT1,289,,,https://2a.zol-img.com.cn/product/191_320x240/212/ceui3dR3aLcVY.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB2.0接口 x2 USB3.0接口 x1
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
安钛克暗黑系-复仇者X DA601,459,,,https://2e.zol-img.com.cn/product/220_320x240/222/ce6FvN9iRpAo.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，MINI-ITX板型，E....>>
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
金河田家悦X8,209,,,https://2b.zol-img.com.cn/product/225_320x240/475/cew4EKD995i8Y.jpg,"机箱类型：游戏机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型
电源设计：暂无数据
扩展插槽：7
前置接口：USB2.0接口 x1 USB3.0接口 x1....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
微星氪金枪2,549,,,https://2e.zol-img.com.cn/product/222_320x240/94/ceKh389I7FhX2.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：MATX板型，ATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.2接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
鑫谷LUX拉克斯,199,179.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/14701828290.html,https://2e.zol-img.com.cn/product/221_320x240/250/ceSaB9QQND5w.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7
前置接口：USB2.0接口 x1 USB3.0接口 x1
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
航嘉超越,129,104.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100012169531.html,https://2b.zol-img.com.cn/product/225_320x240/389/cehsCrz05hMC2.jpg,"机箱类型：台式机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：SPCC
板材厚度：0.5mm"
华硕TUF GAMING GT502,1049,949.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100036010869.html,https://2f.zol-img.com.cn/product/224_320x240/275/cehuFTW9BtydY.png,"机箱类型：游戏机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：11个
前置接口：USB3.2接口 x3
机箱材质：暂无数据
板材厚度：暂无数据"
金河田G5,249,,,https://2c.zol-img.com.cn/product/181_320x240/582/cek8PYh5lVO4E.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB2.0接口 x1 USB3.0接口 x1
机箱材质：暂无数据
板材厚度：暂无数据"
华硕玩家国度ROG Strix Helios,1999,1999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004887526.html,https://2e.zol-img.com.cn/product/221_320x240/782/cep4BJddcyGc2.jpg,"机箱类型：台式机箱（全塔）
机箱结构：暂无数据
适用主板：ATX板型，MATX板型
电源设计：暂无数据
前置接口：USB3.1 Gen2接口 x1 USB3.1 Gen1接口....>>
扩展插槽：暂无数据
机箱材质：钢化玻璃/钢材/塑料
板材厚度：0.7mm"
乔思伯V4,219,,,https://2d.zol-img.com.cn/product/176_320x240/713/ceSTuQX0PpIcw.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB3.0接口 x1 USB2.0接口 x1
扩展插槽：暂无数据
机箱材质：铝合金
板材厚度：1.5mm"
先马平头哥M8,154,144.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10055251148396.html,https://2e.zol-img.com.cn/product/256_320x240/158/ceb5afFu0eCDE.png,"机箱类型：玻璃侧透机箱，异形机箱
机箱结构：ATX
适用主板：M-ATX（紧凑型），MINI-ITX（迷你型....>>
电源设计：下置电源
扩展插槽：4
前置接口：USB3.0*1
机箱材质：暂无数据
板材厚度：暂无数据"
爱国者JV13,89,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100061121082.html,https://2e.zol-img.com.cn/product/256_320x240/564/ceGVxcMhCxyjc.jpg,"机箱类型：游戏机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB2.0*2 + USB3.0*1
机箱材质：SPCC钢材
板材厚度：暂无数据"
酷冷至尊MasterBox Q500L,279,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003371999.html,https://2e.zol-img.com.cn/product/198_320x240/496/ceZaVGyv1RaM.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：Mini ITX, Micro ATX, ATX
电源设计：暂无数据
前置接口：USB3.0 x2
扩展插槽：暂无数据
机箱材质：钢，塑料
板材厚度：0.7mm，部分0.5mmmm"
爱国者星璨 岚,359,329.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100051773938.html,https://2d.zol-img.com.cn/product/256_320x240/623/cebU4V3r0RlA.jpg,"机箱类型：游戏机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：5个
前置接口：USB3.0*1+Type-c*1
机箱材质：SPCC钢材
板材厚度：暂无数据"
先马米立方,209,,,https://2d.zol-img.com.cn/product/222_320x240/159/ceRh2sP6NaGg2.jpg,"机箱类型：游戏机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：五金黑化
板材厚度：暂无数据"
爱国者星璨 大岚,429,376.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100108919124.html,https://2b.zol-img.com.cn/product/269_320x240/819/ceOPMYzcH1Ezs.jpg,"机箱类型：中型机箱（中塔机箱），玻璃侧透机箱
机箱结构：ATX
适用主板：ATX（标准型），M-ATX（紧凑型），MI....>>
电源设计：暂无数据
扩展插槽：7个
前置接口：2×USB 3.0接口，1×Type-C接口
机箱材质：钢化玻璃+SPCC
板材厚度：暂无数据"
九州风神CK560 White,529,,,https://2f.zol-img.com.cn/product/225_320x240/929/ceVBY7VeDcKnU.jpg,"机箱类型：台式机箱（中塔）
机箱结构：暂无数据
适用主板：EATX板型，ATX板型，MATX板型，ITX板....>>
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x2 Type-C接口 x1....>>
机箱材质：暂无数据
板材厚度：暂无数据"
华硕TUF GAMING GT301,599,,,https://2d.zol-img.com.cn/product/221_320x240/413/cew8Gmi7YE2qc.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：暂无数据
电源设计：暂无数据
扩展插槽：暂无数据
前置接口：暂无数据
机箱材质：暂无数据
板材厚度：暂无数据"
GAMEMAX 布洛芬C1,199,,,https://2d.zol-img.com.cn/product/225_320x240/909/ceyHItRG0vZTc.jpg,"机箱类型：游戏机箱
机箱结构：暂无数据
适用主板：EATX板型，ATX板型，MATX板型，ITX板....>>
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x2 USB2.0接口 x1....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
爱国者炫影mini,179,,,https://2e.zol-img.com.cn/product/225_320x240/772/cejCjKP59csQI.jpg,"机箱类型：游戏机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.5mm"
